"index,date,FoodEXp"
"0,2022-01-30,133.45"
"1,2022-01-29,185.8"
"2,2022-01-28,85.0"
"3,2022-01-26,171.14"
"4,2022-01-25,0.0"
"5,2022-01-24,62.0"
"6,2022-01-23,144.0"
"7,2022-01-22,195.0"
"8,2022-01-21,100.0"
"9,2022-01-20,230.0"
"10,2022-01-19,12.0"
"11,2022-01-18,162.0"
"12,2022-01-16,190.0"
"13,2022-01-15,256.0"
"14,2022-01-14,140.0"
"15,2022-01-13,95.0"
"16,2022-01-12,134.0"
"17,2022-01-11,150.0"
"18,2022-01-09,269.0"
"19,2022-01-08,20.0"
"20,2022-01-07,55.0"
"21,2022-01-06,35.0"
"22,2022-01-05,25.0"
"23,2022-01-03,0.0"
